t_s,px,py,pz,vn,ve,vd,qw,qx,qy,qz,bgx,bgy,bgz,bax,bay,baz,P_px,P_py,P_pz,P_vn,P_ve,P_vd,P_rn,P_re,P_rd,P_bgx,P_bgy,P_bgz,P_bax,P_bay,P_baz,innov_pn,innov_pe,innov_pd,innov_vn,innov_ve,innov_vd,S_pn,S_pe,S_pd,S_vn,S_ve,S_vd,rejected
37027.734,1545874.500000,5088041.000000,3510460.750000,-41.961761,2.477175,48.971424,-0.008372,-0.101295,-0.600282,0.793304,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142868,0.138931,0.139420,0.000993,0.000519,0.000638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.741,1545874.375000,5088040.500000,3510460.250000,-42.020962,2.483587,49.018925,-0.008366,-0.101181,-0.600077,0.793473,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142926,0.138979,0.139474,0.000994,0.000519,0.000638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.749,1545874.375000,5088040.500000,3510459.750000,-42.080391,2.490017,49.066299,-0.008362,-0.101065,-0.599870,0.793645,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.142984,0.139028,0.139528,0.000996,0.000520,0.000639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.756,1545874.250000,5088040.500000,3510459.250000,-42.139862,2.496494,49.114182,-0.008361,-0.100947,-0.599662,0.793817,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143042,0.139076,0.139583,0.000997,0.000520,0.000640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.763,1545874.250000,5088040.500000,3510459.000000,-42.199444,2.503091,49.161705,-0.008355,-0.100837,-0.599460,0.793984,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143100,0.139125,0.139637,0.000999,0.000521,0.000641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.770,1545874.125000,5088040.000000,3510458.500000,-42.258617,2.509742,49.209560,-0.008347,-0.100712,-0.599247,0.794160,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143158,0.139174,0.139692,0.001000,0.000521,0.000641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.777,1545874.125000,5088040.000000,3510458.000000,-42.317410,2.516316,49.256538,-0.008339,-0.100600,-0.599045,0.794326,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143215,0.139222,0.139746,0.001002,0.000522,0.000642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.785,1545874.125000,5088040.000000,3510457.500000,-42.376648,2.522696,49.304108,-0.008323,-0.100489,-0.598835,0.794500,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143274,0.139271,0.139801,0.001003,0.000522,0.000643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.792,1545874.000000,5088040.000000,3510457.000000,-42.436081,2.529062,49.351887,-0.008313,-0.100370,-0.598625,0.794673,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143332,0.139320,0.139855,0.001005,0.000523,0.000643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.799,1545874.000000,5088040.000000,3510456.750000,-42.494835,2.535854,49.399105,-0.008304,-0.100251,-0.598423,0.794840,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143390,0.139368,0.139909,0.001007,0.000523,0.000644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.806,1545873.875000,5088039.500000,3510456.250000,-42.554436,2.542465,49.446877,-0.008308,-0.100125,-0.598220,0.795009,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143449,0.139417,0.139964,0.001008,0.000524,0.000645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.813,1545873.875000,5088039.500000,3510455.750000,-42.613876,2.548918,49.495079,-0.008300,-0.100001,-0.598026,0.795170,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143508,0.139466,0.140020,0.001010,0.000524,0.000646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.820,1545873.750000,5088039.500000,3510455.250000,-42.672638,2.555662,49.542534,-0.008297,-0.099886,-0.597821,0.795339,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143566,0.139514,0.140074,0.001011,0.000525,0.000646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.828,1545873.750000,5088039.500000,3510454.750000,-42.732014,2.562099,49.590591,-0.008300,-0.099758,-0.597617,0.795508,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143625,0.139563,0.140129,0.001013,0.000525,0.000647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.835,1545873.750000,5088039.000000,3510454.500000,-42.791061,2.568835,49.639126,-0.008295,-0.099650,-0.597397,0.795687,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143684,0.139613,0.140184,0.001014,0.000526,0.000648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.842,1545873.625000,5088039.000000,3510454.000000,-42.849461,2.575113,49.686722,-0.008281,-0.099535,-0.597185,0.795861,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143742,0.139661,0.140239,0.001016,0.000527,0.000649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.849,1545873.625000,5088039.000000,3510453.500000,-42.909512,2.581653,49.734653,-0.008270,-0.099425,-0.596973,0.796033,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143802,0.139711,0.140294,0.001017,0.000527,0.000649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.856,1545873.500000,5088039.000000,3510453.000000,-42.969124,2.588362,49.782829,-0.008258,-0.099314,-0.596763,0.796205,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143861,0.139760,0.140350,0.001019,0.000528,0.000650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.863,1545873.500000,5088038.500000,3510452.500000,-43.028942,2.595095,49.830860,-0.008244,-0.099196,-0.596546,0.796382,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143921,0.139810,0.140405,0.001020,0.000528,0.000651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.871,1545873.375000,5088038.500000,3510452.000000,-43.088509,2.601500,49.878952,-0.008235,-0.099075,-0.596336,0.796555,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.143981,0.139859,0.140461,0.001022,0.000529,0.000651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.878,1545873.375000,5088038.500000,3510451.750000,-43.147957,2.608099,49.927345,-0.008231,-0.098960,-0.596126,0.796727,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144041,0.139909,0.140517,0.001023,0.000529,0.000652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.885,1545873.250000,5088038.500000,3510451.250000,-43.207699,2.614660,49.975555,-0.008216,-0.098846,-0.595916,0.796898,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144101,0.139958,0.140573,0.001025,0.000530,0.000653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.892,1545873.250000,5088038.000000,3510450.750000,-43.266388,2.621190,50.023357,-0.008199,-0.098736,-0.595708,0.797067,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144160,0.140007,0.140628,0.001027,0.000530,0.000654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.899,1545873.250000,5088038.000000,3510450.250000,-43.326080,2.627766,50.071564,-0.008193,-0.098628,-0.595496,0.797239,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144220,0.140057,0.140684,0.001028,0.000531,0.000654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.907,1545873.125000,5088038.000000,3510449.750000,-43.385780,2.634417,50.120167,-0.008188,-0.098512,-0.595284,0.797412,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144280,0.140107,0.140740,0.001030,0.000531,0.000655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.914,1545873.125000,5088038.000000,3510449.250000,-43.445641,2.641045,50.168816,-0.008185,-0.098398,-0.595068,0.797587,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144341,0.140157,0.140796,0.001031,0.000532,0.000656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.921,1545873.000000,5088038.000000,3510449.000000,-43.504940,2.647738,50.216137,-0.008169,-0.098288,-0.594855,0.797759,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144401,0.140206,0.140851,0.001033,0.000532,0.000657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.928,1545873.000000,5088037.500000,3510448.500000,-43.564556,2.654299,50.264229,-0.008161,-0.098184,-0.594643,0.797930,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144461,0.140256,0.140908,0.001034,0.000533,0.000657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.935,1545872.875000,5088037.500000,3510448.000000,-43.623901,2.660809,50.311886,-0.008154,-0.098071,-0.594427,0.798105,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144521,0.140305,0.140963,0.001036,0.000534,0.000658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.942,1545872.875000,5088037.500000,3510447.500000,-43.683754,2.667461,50.360619,-0.008139,-0.097954,-0.594216,0.798277,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144582,0.140355,0.141020,0.001038,0.000534,0.000659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.950,1545872.750000,5088037.500000,3510447.000000,-43.743305,2.674146,50.409389,-0.008128,-0.097836,-0.594000,0.798452,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144643,0.140405,0.141076,0.001039,0.000535,0.000659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.957,1545872.750000,5088037.000000,3510446.500000,-43.802975,2.680745,50.458122,-0.008118,-0.097723,-0.593782,0.798628,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144704,0.140456,0.141133,0.001041,0.000535,0.000660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.964,1545872.750000,5088037.000000,3510446.250000,-43.861504,2.687378,50.506069,-0.008109,-0.097601,-0.593566,0.798804,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144765,0.140505,0.141189,0.001042,0.000536,0.000661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.971,1545872.625000,5088037.000000,3510445.750000,-43.921288,2.694150,50.554649,-0.008095,-0.097485,-0.593349,0.798980,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144826,0.140556,0.141246,0.001044,0.000536,0.000662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.978,1545872.625000,5088037.000000,3510445.250000,-43.981339,2.701218,50.603424,-0.008096,-0.097370,-0.593140,0.799149,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144887,0.140606,0.141302,0.001045,0.000537,0.000662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.985,1545872.500000,5088036.500000,3510444.750000,-44.040318,2.707680,50.651680,-0.008085,-0.097255,-0.592936,0.799314,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.144948,0.140656,0.141358,0.001047,0.000537,0.000663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37027.993,1545872.500000,5088036.500000,3510444.250000,-44.100361,2.714522,50.700413,-0.008062,-0.097138,-0.592723,0.799487,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145010,0.140706,0.141415,0.001049,0.000538,0.000664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.000,1545872.375000,5088036.500000,3510443.750000,-44.159122,2.721132,50.748791,-0.008052,-0.097035,-0.592512,0.799656,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145071,0.140756,0.141472,0.001050,0.000538,0.000665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.007,1545872.375000,5088036.500000,3510443.250000,-44.219357,2.728048,50.797535,-0.008047,-0.096924,-0.592293,0.799832,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145133,0.140807,0.141529,0.001052,0.000539,0.000665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.014,1545872.250000,5088036.500000,3510443.000000,-44.279305,2.734832,50.846272,-0.008033,-0.096804,-0.592081,0.800003,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145195,0.140857,0.141586,0.001053,0.000540,0.000666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.021,1545872.250000,5088036.000000,3510442.500000,-44.339333,2.741577,50.895073,-0.008024,-0.096693,-0.591874,0.800170,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145257,0.140908,0.141643,0.001055,0.000540,0.000667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.028,1545872.250000,5088036.000000,3510442.000000,-44.398663,2.748263,50.943371,-0.008022,-0.096574,-0.591657,0.800345,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145319,0.140958,0.141700,0.001056,0.000541,0.000668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.035,1545872.125000,5088036.000000,3510441.500000,-44.458282,2.755124,50.992664,-0.008010,-0.096458,-0.591444,0.800516,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145381,0.141009,0.141758,0.001058,0.000541,0.000668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.043,1545872.125000,5088036.000000,3510441.000000,-44.519077,2.761641,51.042465,-0.008002,-0.096346,-0.591232,0.800686,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145444,0.141061,0.141816,0.001060,0.000542,0.000669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.050,1545872.000000,5088035.500000,3510440.500000,-44.578270,2.768363,51.091095,-0.007992,-0.096230,-0.591022,0.800855,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145506,0.141111,0.141873,0.001061,0.000542,0.000670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.057,1545872.000000,5088035.500000,3510440.000000,-44.638142,2.775337,51.140232,-0.007985,-0.096114,-0.590804,0.801030,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145569,0.141162,0.141930,0.001063,0.000543,0.000670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
37028.064,1545871.875000,5088035.500000,3510439.500000,-44.698074,2.782303,51.189514,-0.007981,-0.096000,-0.590581,0.801208,0.004196,0.007203,-0.000582,-0.254619,-3.142126,-1.928692,0.145632,0.141213,0.141988,0.001065,0.000543,0.000671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000004,0.000003,63.330910,261.049133,59.302189,7.440258,17.008678,60.901535,6.393981,6.390057,6.390451,0.010991,0.010514,0.010632,0
